VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1443,032 010006501443,2025-04-29,08:50:34,,Nueva etiqu.:1443,,,,Yes,4,4d,CABEZA,
1445,032 010006501445,2025-04-29,08:56:09,,Nueva etiqu.:1445,,,,Yes,4,4d,CABEZA,
1446,032 010006501446,2025-04-29,08:56:50,,Nueva etiqu.:1446,,,,Yes,4,4d,CABEZA,
1450,032 010006501450,2025-04-29,09:00:52,,Nueva etiqu.:1450,,,,Yes,4,4d,CABEZA,
1454,032 010006501454,2025-04-29,09:03:06,,Nueva etiqu.:1454,,,,Yes,4,4d,CABEZA,
1456,032 010006501456,2025-04-29,09:05:31,,Nueva etiqu.:1456,,,,Yes,4,4d,CABEZA,
1460,032 010006501460,2025-04-29,09:12:52,,Nueva etiqu.:1460,,,,Yes,4,4d,CABEZA,
1461,032 010006501461,2025-04-29,09:13:34,,Nueva etiqu.:1461,,,,Yes,4,4d,CABEZA,
1466,032 010006501466,2025-04-29,09:17:09,,Nueva etiqu.:1466,,,,Yes,4,4d,CABEZA,
1467,032 010006501467,2025-04-29,09:18:30,,Nueva etiqu.:1467,,,,Yes,4,4d,CABEZA,
1470,032 010006501470,2025-04-29,09:22:46,,Nueva etiqu.:1470,,,,Yes,4,4d,CABEZA,
1472,032 010006501472,2025-04-29,09:23:55,,Nueva etiqu.:1472,,,,Yes,5,4d,CABEZA,
1473,032 010006501473,2025-04-29,09:24:57,,Nueva etiqu.:1473,,,,Yes,4,4d,cuerpo,
1476,032 010006501476,2025-04-29,09:29:17,,Nueva etiqu.:1476,,,,Yes,4,4d,CABEZA,
1478,032 010006501478,2025-04-29,09:30:40,,Nueva etiqu.:1478,,,,Yes,5,4d,CABEZA,
1481,032 010006501481,2025-04-29,09:36:30,,Nueva etiqu.:1481,,,,Yes,4,4d,CABEZA,
1482,032 010006501482,2025-04-29,09:36:44,,Nueva etiqu.:1482,,,,Yes,4,4d,CABEZA,
1483,032 010006501483,2025-04-29,09:37:07,,Nueva etiqu.:1483,,,,Yes,4,4d,CABEZA,
1486,032 010006501486,2025-04-29,09:42:07,,Nueva etiqu.:1486,,,,Yes,4,4d,CABEZA,
1488,032 010006501488,2025-04-29,09:46:22,,Nueva etiqu.:1488,,,,Yes,4,4d,CABEZA,
1497,032 010006501497,2025-04-29,09:59:21,,Nueva etiqu.:1497,,,,Yes,4,4d,CABEZA,
1498,032 010006501498,2025-04-29,10:02:52,,Nueva etiqu.:1498,,,,Yes,4,4d,CABEZA,
1499,032 010006501499,2025-04-29,10:03:29,,Nueva etiqu.:1499,,,,Yes,4,2d,CABEZA,
1505,032 010006501505,2025-04-29,10:14:44,,Nueva etiqu.:1505,,,,Yes,4,4d,CABEZA,
1512,032 010006501512,2025-04-29,10:29:13,,Nueva etiqu.:1512,,,,Yes,4,4d,CABEZA,
1514,032 010006501514,2025-04-29,10:30:50,,Nueva etiqu.:1514,,,,Yes,4,6d,CABEZA,
1515,032 010006501515,2025-04-29,10:32:26,,Nueva etiqu.:1515,,,,Yes,4,bll,CABEZA,
1519,032 010006501519,2025-04-29,10:37:53,,Nueva etiqu.:1519,,,,Yes,4,4d,CABEZA,
1523,032 010006501523,2025-04-29,10:42:30,,Nueva etiqu.:1523,,,,Yes,4,4d,CABEZA,
1525,032 010006501525,2025-04-29,10:45:14,,Nueva etiqu.:1525,,,,Yes,4,4d,CABEZA,
1526,032 010006501526,2025-04-29,10:45:54,,Nueva etiqu.:1526,,,,Yes,4,4d,CABEZA,
1529,032 010006501529,2025-04-29,10:47:52,,Nueva etiqu.:1529,,,,Yes,4,4d,CABEZA,
1531,032 010006501531,2025-04-29,10:50:59,,Nueva etiqu.:1531,,,,Yes,4,4d,CABEZA,
1536,032 010006501536,2025-04-29,10:55:25,,Nueva etiqu.:1536,,,,Yes,4,6d,CABEZA,
1540,032 010006501540,2025-04-29,11:02:06,,Nueva etiqu.:1540,,,,Yes,4,2d,CABEZA,
1541,032 010006501541,2025-04-29,11:02:55,,Nueva etiqu.:1541,,,,Yes,4,4d,CABEZA,

 ,Total Head,142
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
