VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,edad,SANGRADO.BRUCEIOSIS,Status
2009,032 010006502009,2025-09-24,09:25:07,,Nueva etiqu.:2009,,,,Yes,4d,Yes,
2010,032 010006502010,2025-09-24,09:26:00,,Nueva etiqu.:2010,,,,Yes,4d,Yes,
2011,032 010006502011,2025-09-24,09:26:23,,Nueva etiqu.:2011,,,,Yes,4d,Yes,
2012,032 010006502012,2025-09-24,09:26:49,,Nueva etiqu.:2012,,,,Yes,4d,Yes,
2013,032 010006502013,2025-09-24,09:27:21,,Nueva etiqu.:2013,,,,Yes,4d,Yes,
2014,032 010006502014,2025-09-24,09:28:03,,Nueva etiqu.:2014,,,,Yes,4d,Yes,
2015,032 010006502015,2025-09-24,09:30:44,,Nueva etiqu.:2015,,,,Yes,4d,Yes,
2016,032 010006502016,2025-09-24,09:31:18,,Nueva etiqu.:2016,,,,Yes,4d,Yes,
2017,032 010006502017,2025-09-24,09:32:02,,Nueva etiqu.:2017,,,,Yes,4d,Yes,
2018,032 010006502018,2025-09-24,09:32:45,,Nueva etiqu.:2018,,,,Yes,4d,Yes,
2019,032 010006502019,2025-09-24,09:33:14,,Nueva etiqu.:2019,,,,Yes,4d,Yes,
2020,032 010006502020,2025-09-24,09:33:54,,Nueva etiqu.:2020,,,,Yes,4d,Yes,
2021,032 010006502021,2025-09-24,09:35:48,,Nueva etiqu.:2021,,,,Yes,4d,Yes,
2022,032 010006502022,2025-09-24,09:37:02,,Nueva etiqu.:2022,,,,Yes,4d,Yes,
2023,032 010006502023,2025-09-24,09:37:29,,Nueva etiqu.:2023,,,,Yes,4d,Yes,
2024,032 010006502024,2025-09-24,09:37:57,,Nueva etiqu.:2024,,,,Yes,4d,Yes,
2025,032 010006502025,2025-09-24,09:41:48,,Nueva etiqu.:2025,,,,Yes,4d,Yes,
2026,032 010006502026,2025-09-24,09:42:47,,Nueva etiqu.:2026,,,,Yes,4d,Yes,
2027,032 010006502027,2025-09-24,09:43:17,,Nueva etiqu.:2027,,,,Yes,4d,Yes,
2028,032 010006502028,2025-09-24,09:43:44,,Nueva etiqu.:2028,,,,Yes,4d,Yes,
2029,032 010006502029,2025-09-24,09:44:23,,Nueva etiqu.:2029,,,,Yes,4d,Yes,
2030,032 010006502030,2025-09-24,09:45:02,,Nueva etiqu.:2030,,,,Yes,4d,Yes,
2031,032 010006502031,2025-09-24,09:46:16,,Nueva etiqu.:2031,,,,Yes,4d,Yes,
2032,032 010006502032,2025-09-24,09:47:15,,Nueva etiqu.:2032,,,,Yes,4d,Yes,
2033,032 010006502033,2025-09-24,09:47:48,,Nueva etiqu.:2033,,,,Yes,4d,Yes,
2034,032 010006502034,2025-09-24,09:48:19,,Nueva etiqu.:2034,,,,Yes,4d,Yes,
2035,032 010006502035,2025-09-24,09:49:23,,Nueva etiqu.:2035,,,,Yes,4d,Yes,
2036,032 010006502036,2025-09-24,09:49:44,,Nueva etiqu.:2036,,,,Yes,4d,Yes,
2037,032 010006502037,2025-09-24,09:50:26,,Nueva etiqu.:2037,,,,Yes,4d,Yes,
2038,032 010006502038,2025-09-24,09:52:35,,Nueva etiqu.:2038,,,,Yes,4d,Yes,
2039,032 010006502039,2025-09-24,09:53:17,,Nueva etiqu.:2039,,,,Yes,4d,Yes,
2040,032 010006502040,2025-09-24,09:53:42,,Nueva etiqu.:2040,,,,Yes,4d,Yes,
