VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
2149,032 010006502149,2025-10-02,16:24:06,,,,,,
2000,032 010006502000,2025-10-02,16:45:13,,,,,,
2001,032 010006502001,2025-10-02,16:37:43,,,,,,
2002,032 010006502002,2025-10-02,16:38:06,,,,,,
2003,032 010006502003,2025-10-02,16:49:53,,,,,,
2004,032 010006502004,2025-10-02,16:26:27,,,,,,
2005,032 010006502005,2025-10-02,16:41:05,,,,,,
2006,032 010006502006,2025-10-02,16:28:12,,,,,,
2007,032 010006502007,2025-10-02,16:43:29,,,,,,
2008,032 010006502008,2025-10-02,16:31:39,,,,,,
2009,032 010006502009,2025-10-02,16:25:30,,,,,,
2010,032 010006502010,2025-10-02,16:50:04,,,,,,
2011,032 010006502011,2025-10-02,16:25:00,,,,,,
2012,032 010006502012,2025-10-02,16:36:32,,,,,,
2013,032 010006502013,2025-10-02,16:31:09,,,,,,
2014,032 010006502014,2025-10-02,16:50:06,,,,,,
2015,032 010006502015,2025-10-02,16:49:47,,,,,,
2016,032 010006502016,2025-10-02,16:52:49,,,,,,
2017,032 010006502017,2025-10-02,16:31:37,,,,,,
2018,032 010006502018,2025-10-02,16:30:39,,,,,,
2019,032 010006502019,2025-10-02,16:33:55,,,,,,
2020,032 010006502020,2025-10-02,16:28:03,,,,,,
2021,032 010006502021,2025-10-02,16:43:18,,,,,,
2022,032 010006502022,2025-10-02,16:41:40,,,,,,
2023,032 010006502023,2025-10-02,16:49:57,,,,,,
2024,032 010006502024,2025-10-02,16:36:08,,,,,,
2025,032 010006502025,2025-10-02,16:41:26,,,,,,
2026,032 010006502026,2025-10-02,16:41:32,,,,,,
2027,032 010006502027,2025-10-02,16:54:49,,,,,,
2028,032 010006502028,2025-10-02,16:32:53,,,,,,
2029,032 010006502029,2025-10-02,16:37:39,,,,,,
2030,032 010006502030,2025-10-02,16:35:04,,,,,,
2031,032 010006502031,2025-10-02,16:32:56,,,,,,
2032,032 010006502032,2025-10-02,16:49:49,,,,,,
2033,032 010006502033,2025-10-02,16:41:29,,,,,,
2034,032 010006502034,2025-10-02,16:45:27,,,,,,
2035,032 010006502035,2025-10-02,16:26:01,,,,,,
2036,032 010006502036,2025-10-02,16:52:58,,,,,,
2037,032 010006502037,2025-10-02,16:33:38,,,,,,
2038,032 010006502038,2025-10-02,16:33:35,,,,,,
2039,032 010006502039,2025-10-02,16:53:03,,,,,,
2040,032 010006502040,2025-10-02,16:25:40,,,,,,
2041,032 010006502041,2025-10-02,16:30:34,,,,,,
2042,032 010006502042,2025-10-02,16:38:20,,,,,,
2043,032 010006502043,2025-10-02,16:43:34,,,,,,
2044,032 010006502044,2025-10-02,16:31:15,,,,,,
2045,032 010006502045,2025-10-02,16:48:06,,,,,,
2046,032 010006502046,2025-10-02,16:53:06,,,,,,
2047,032 010006502047,2025-10-02,16:26:12,,,,,,
2048,032 010006502048,2025-10-02,16:31:47,,,,,,
2049,032 010006502049,2025-10-02,16:56:20,,,,,,
2050,032 010006502050,2025-10-02,16:35:31,,,,,,
2051,032 010006502051,2025-10-02,16:23:55,,,,,,
2052,032 010006502052,2025-10-02,16:47:34,,,,,,
2053,032 010006502053,2025-10-02,16:43:08,,,,,,
2054,032 010006502054,2025-10-02,16:30:43,,,,,,
2055,032 010006502055,2025-10-02,16:41:15,,,,,,
2056,032 010006502056,2025-10-02,16:33:01,,,,,,
2057,032 010006502057,2025-10-02,16:33:06,,,,,,
2058,032 010006502058,2025-10-02,16:37:56,,,,,,
2059,032 010006502059,2025-10-02,16:35:36,,,,,,
2060,032 010006502060,2025-10-02,16:35:12,,,,,,
2061,032 010006502061,2025-10-02,16:36:13,,,,,,
2062,032 010006502062,2025-10-02,16:51:31,,,,,,
2063,032 010006502063,2025-10-02,16:35:46,,,,,,
2064,032 010006502064,2025-10-02,16:53:59,,,,,,
2065,032 010006502065,2025-10-02,16:36:15,,,,,,
2066,032 010006502066,2025-10-02,16:45:46,,,,,,
2067,032 010006502067,2025-10-02,16:43:24,,,,,,
2068,032 010006502068,2025-10-02,16:31:31,,,,,,
2069,032 010006502069,2025-10-02,16:45:48,,,,,,
2070,032 010006502070,2025-10-02,16:48:13,,,,,,
2071,032 010006502071,2025-10-02,16:48:18,,,,,,
2072,032 010006502072,2025-10-02,16:49:21,,,,,,
2073,032 010006502073,2025-10-02,16:24:46,,,,,,
2074,032 010006502074,2025-10-02,16:49:59,,,,,,
2075,032 010006502075,2025-10-02,16:52:40,,,,,,
2076,032 010006502076,2025-10-02,16:45:29,,,,,,
2077,032 010006502077,2025-10-02,16:47:37,,,,,,
2078,032 010006502078,2025-10-02,16:37:53,,,,,,
2079,032 010006502079,2025-10-02,16:25:34,,,,,,
2080,032 010006502080,2025-10-02,16:43:11,,,,,,
2081,032 010006502081,2025-10-02,16:25:56,,,,,,
2082,032 010006502082,2025-10-02,16:33:50,,,,,,
2083,032 010006502083,2025-10-02,16:45:42,,,,,,
2084,032 010006502084,2025-10-02,16:51:37,,,,,,
2085,032 010006502085,2025-10-02,16:28:18,,,,,,
2086,032 010006502086,2025-10-02,16:49:17,,,,,,
2087,032 010006502087,2025-10-02,16:43:42,,,,,,
2088,032 010006502088,2025-10-02,16:50:08,,,,,,
2089,032 010006502089,2025-10-02,16:35:20,,,,,,
2090,032 010006502090,2025-10-02,16:54:07,,,,,,
2091,032 010006502091,2025-10-02,16:53:13,,,,,,
2092,032 010006502092,2025-10-02,16:31:25,,,,,,
2093,032 010006502093,2025-10-02,16:51:27,,,,,,
2094,032 010006502094,2025-10-02,16:45:38,,,,,,
2095,032 010006502095,2025-10-02,16:47:25,,,,,,
2096,032 010006502096,2025-10-02,16:25:02,,,,,,
2097,032 010006502097,2025-10-02,16:35:41,,,,,,
2098,032 010006502098,2025-10-02,16:49:28,,,,,,
2099,032 010006502099,2025-10-02,16:51:35,,,,,,
1863,032 010006501863,2025-10-02,16:48:10,,,,,,

 ,Total Head,152
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
