VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
2119,032 010006502119,2025-10-02,16:28:00,,,,,,
2116,032 010006502116,2025-10-02,16:33:24,,,,,,
2115,032 010006502115,2025-10-02,16:33:20,,,,,,
2118,032 010006502118,2025-10-02,16:26:21,,,,,,
2117,032 010006502117,2025-10-02,16:29:48,,,,,,
2110,032 010006502110,2025-10-02,16:30:56,,,,,,
2111,032 010006502111,2025-10-02,16:49:51,,,,,,
2112,032 010006502112,2025-10-02,16:37:49,,,,,,
2113,032 010006502113,2025-10-02,16:24:09,,,,,,
2120,032 010006502120,2025-10-02,16:36:25,,,,,,
2124,032 010006502124,2025-10-02,16:51:29,,,,,,
1820,032 010006501820,2025-10-02,16:45:18,,,,,,
2100,032 010006502100,2025-10-02,16:31:20,,,,,,
2101,032 010006502101,2025-10-02,16:50:01,,,,,,
2102,032 010006502102,2025-10-02,16:30:18,,,,,,
2103,032 010006502103,2025-10-02,16:35:16,,,,,,
2104,032 010006502104,2025-10-02,16:24:02,,,,,,
2105,032 010006502105,2025-10-02,16:53:12,,,,,,
2106,032 010006502106,2025-10-02,16:34:04,,,,,,
2107,032 010006502107,2025-10-02,16:41:02,,,,,,
2108,032 010006502108,2025-10-02,16:35:23,,,,,,
2109,032 010006502109,2025-10-02,16:25:52,,,,,,
2114,032 010006502114,2025-10-02,16:31:28,,,,,,
2121,032 010006502121,2025-10-02,16:25:48,,,,,,
2122,032 010006502122,2025-10-02,16:23:49,,,,,,
2123,032 010006502123,2025-10-02,16:29:59,,,,,,
2125,032 010006502125,2025-10-02,16:35:26,,,,,,
2126,032 010006502126,2025-10-02,16:30:59,,,,,,
2127,032 010006502127,2025-10-02,16:41:36,,,,,,
2128,032 010006502128,2025-10-02,16:29:46,,,,,,
2129,032 010006502129,2025-10-02,16:48:16,,,,,,
2130,032 010006502130,2025-10-02,16:45:10,,,,,,
2131,032 010006502131,2025-10-02,16:33:27,,,,,,
2132,032 010006502132,2025-10-02,16:52:48,,,,,,
2133,032 010006502133,2025-10-02,16:25:05,,,,,,
2134,032 010006502134,2025-10-02,16:43:15,,,,,,
2135,032 010006502135,2025-10-02,16:33:10,,,,,,
2136,032 010006502136,2025-10-02,16:35:54,,,,,,
2137,032 010006502137,2025-10-02,16:33:15,,,,,,
2138,032 010006502138,2025-10-02,16:24:00,,,,,,
2139,032 010006502139,2025-10-02,16:43:45,,,,,,
2140,032 010006502140,2025-10-02,16:36:01,,,,,,
2141,032 010006502141,2025-10-02,16:47:49,,,,,,
2142,032 010006502142,2025-10-02,16:30:14,,,,,,
2143,032 010006502143,2025-10-02,16:47:43,,,,,,
2144,032 010006502144,2025-10-02,16:47:29,,,,,,
2145,032 010006502145,2025-10-02,16:36:03,,,,,,
2146,032 010006502146,2025-10-02,16:45:23,,,,,,
2147,032 010006502147,2025-10-02,16:38:08,,,,,,
2148,032 010006502148,2025-10-02,16:35:01,,,,,,
