VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1229,032 010006501229,2025-04-23,10:12:51,,Nueva etiqu.:1229,,,,Yes,2,1/4D,VACIA,
1233,032 010006501233,2025-04-23,10:20:01,,Nueva etiqu.:1233,,,,Yes,2,bll,VACIA,
1246,032 010006501246,2025-04-23,10:38:43,,Nueva etiqu.:1246,,,,Yes,3,1/4D,VACIA,
1272,032 010006501272,2025-04-23,11:19:03,,Nueva etiqu.:1272,,,,Yes,4,1/4D,VACIA,
1274,032 010006501274,2025-04-23,11:21:12,,Nueva etiqu.:1274,,,,Yes,4,1/4D,VACIA,
1278,032 010006501278,2025-04-23,11:25:27,,Nueva etiqu.:1278,,,,Yes,3,bll,CABEZA,
1311,032 010006501311,2025-04-23,12:13:18,,Nueva etiqu.:1311,,,,Yes,2,1/4D,VACIA,
1326,032 010006501326,2025-04-23,12:39:57,,Nueva etiqu.:1326,,,,Yes,3,CUT,CABEZA,
1374,032 010006501374,2025-04-23,13:58:59,,Nueva etiqu.:1374,,,,Yes,2,MD,VACIA,
1380,032 010006501380,2025-04-23,14:06:32,,Nueva etiqu.:1380,,,,Yes,3,CUT,CABEZA,
1390,032 010006501390,2025-04-23,14:22:09,,Nueva etiqu.:1390,,,,Yes,3,1/4D,VACIA,
1396,032 010006501396,2025-04-23,14:34:35,,Nueva etiqu.:1396,,,,Yes,3,1/4D,VACIA,
1158,032 010006501158,2025-04-23,08:33:11,,Nueva etiqu.:1158,,,,Yes,3,1/4D,CABEZA,
1185,032 010006501185,2025-04-23,09:09:38,,Nueva etiqu.:1185,,,,Yes,3,MD,CABEZA,
1189,032 010006501189,2025-04-23,09:13:53,,Nueva etiqu.:1189,,,,Yes,3,MD,cuerpo,
1211,032 010006501211,2025-04-23,09:49:41,,Nueva etiqu.:1211,,,,Yes,3,1/4D,cuerpo,
1234,032 010006501234,2025-04-23,10:21:13,,Nueva etiqu.:1234,,,,Yes,2,1/4D,VACIA,
