VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,edad,GESTACION,Status
1159,032 010006501159,2025-04-23,08:34:17,,Nueva etiqu.:1159,,,,Yes,3,bll,CABEZA,
1161,032 010006501161,2025-04-23,08:36:04,,Nueva etiqu.:1161,,,,Yes,3,MD,CABEZA,
1163,032 010006501163,2025-04-23,08:37:40,,Nueva etiqu.:1163,,,,Yes,3,MD,CABEZA,
1164,032 010006501164,2025-04-23,08:40:46,,Nueva etiqu.:1164,,,,Yes,3,bll,CABEZA,
1165,032 010006501165,2025-04-23,08:41:23,,Nueva etiqu.:1165,,,,Yes,3,MD,CABEZA,
1166,032 010006501166,2025-04-23,08:42:05,,Nueva etiqu.:1166,,,,Yes,3,bll,CABEZA,
1167,032 010006501167,2025-04-23,08:43:37,,Nueva etiqu.:1167,,,,Yes,4,MD,CABEZA,
1168,032 010006501168,2025-04-23,08:44:23,,Nueva etiqu.:1168,,,,Yes,3,bll,CABEZA,
1169,032 010006501169,2025-04-23,08:45:18,,Nueva etiqu.:1169,,,,Yes,3,MD,CABEZA,
1170,032 010006501170,2025-04-23,08:47:09,,Nueva etiqu.:1170,,,,Yes,4,6d,CABEZA,
1172,032 010006501172,2025-04-23,08:48:52,,Nueva etiqu.:1172,,,,Yes,4,bll,CABEZA,
1174,032 010006501174,2025-04-23,08:50:30,,Nueva etiqu.:1174,,,,Yes,4,bll,CABEZA,
1175,032 010006501175,2025-04-23,08:55:54,,Nueva etiqu.:1175,,,,Yes,4,MD,CABEZA,
1176,032 010006501176,2025-04-23,08:56:39,,Nueva etiqu.:1176,,,,Yes,4,bll,CABEZA,
1178,032 010006501178,2025-04-23,08:59:14,,Nueva etiqu.:1178,,,,Yes,4,bll,CABEZA,
1180,032 010006501180,2025-04-23,09:00:58,,Nueva etiqu.:1180,,,,Yes,3,MD,CABEZA,
1181,032 010006501181,2025-04-23,09:06:36,,Nueva etiqu.:1181,,,,Yes,3,bll,CABEZA,
1182,032 010006501182,2025-04-23,09:07:21,,Nueva etiqu.:1182,,,,Yes,3,bll,CABEZA,
1183,032 010006501183,2025-04-23,09:07:53,,Nueva etiqu.:1183,,,,Yes,3,bll,CABEZA,
1184,032 010006501184,2025-04-23,09:08:54,,Nueva etiqu.:1184,,,,Yes,3,bll,CABEZA,
1186,032 010006501186,2025-04-23,09:10:32,,Nueva etiqu.:1186,,,,Yes,3,MD,CABEZA,
1187,032 010006501187,2025-04-23,09:11:16,,Nueva etiqu.:1187,,,,Yes,3,bll,CABEZA,
1188,032 010006501188,2025-04-23,09:13:11,,Nueva etiqu.:1188,,,,Yes,3,MD,CABEZA,
1191,032 010006501191,2025-04-23,09:15:48,,Nueva etiqu.:1191,,,,Yes,3,MD,CABEZA,
1192,032 010006501192,2025-04-23,09:17:08,,Nueva etiqu.:1192,,,,Yes,3,MD,CABEZA,
1194,032 010006501194,2025-04-23,09:21:30,,Nueva etiqu.:1194,,,,Yes,3,MD,CABEZA,
1195,032 010006501195,2025-04-23,09:22:49,,Nueva etiqu.:1195,,,,Yes,4,bll,CABEZA,
1196,032 010006501196,2025-04-23,09:24:19,,Nueva etiqu.:1196,,,,Yes,4,MD,CABEZA,
1197,032 010006501197,2025-04-23,09:25:00,,Nueva etiqu.:1197,,,,Yes,3,bll,CABEZA,
1198,032 010006501198,2025-04-23,09:25:44,,Nueva etiqu.:1198,,,,Yes,3,bll,CABEZA,
1199,032 010006501199,2025-04-23,09:26:23,,Nueva etiqu.:1199,,,,Yes,3,bll,CABEZA,
1203,032 010006501203,2025-04-23,09:33:01,,Nueva etiqu.:1203,,,,Yes,4,bll,CABEZA,
1204,032 010006501204,2025-04-23,09:33:43,,Nueva etiqu.:1204,,,,Yes,4,bll,CABEZA,
1205,032 010006501205,2025-04-23,09:37:26,,Nueva etiqu.:1205,,,,Yes,3,bll,CABEZA,
1207,032 010006501207,2025-04-23,09:41:55,,Nueva etiqu.:1207,,,,Yes,4,MD,CABEZA,

 ,Total Head,250
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
