VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,Dam Vid,Dam Eid,edad,GESTACION,Status
1735,032 010006501735,2025-05-02,11:56:56,,Nueva etiqu.:1735,,,,Yes,4,,,bll,CABEZA,
1736,032 010006501736,2025-05-02,12:01:47,,Nueva etiqu.:1736,,,,Yes,4,,,6d,cuerpo,
1738,032 010006501738,2025-05-02,12:03:48,,Nueva etiqu.:1738,,,,Yes,4,,,bll,CABEZA,
1740,032 010006501740,2025-05-02,12:05:53,,Nueva etiqu.:1740,,,,Yes,4,,,bll,CABEZA,
1741,032 010006501741,2025-05-02,12:08:26,,Nueva etiqu.:1741,,,,Yes,3,,,bll,cuerpo,
1743,032 010006501743,2025-05-02,12:09:57,,Nueva etiqu.:1743,,,,Yes,3,,,1/4D,cuerpo,
1744,032 010006501744,2025-05-02,12:10:58,,Nueva etiqu.:1744,,,,Yes,4,,,MD,CABEZA,
1747,032 010006501747,2025-05-02,12:16:38,,Nueva etiqu.:1747,,,,Yes,4,,,1/4D,CABEZA,
1749,032 010006501749,2025-05-02,12:19:31,,Nueva etiqu.:1749,,,,Yes,4,,,bll,CABEZA,
1750,032 010006501750,2025-05-02,12:20:22,,Nueva etiqu.:1750,,,,Yes,4,,,MD,CABEZA,
1752,032 010006501752,2025-05-02,12:22:05,,Nueva etiqu.:1752,,,,Yes,3,,,6d,cuerpo,
1754,032 010006501754,2025-05-02,12:25:02,,Nueva etiqu.:1754,,,,Yes,3,,,MD,cuerpo,
1755,032 010006501755,2025-05-02,12:26:00,,Nueva etiqu.:1755,,,,Yes,4,,,MD,CABEZA,
1757,032 010006501757,2025-05-02,12:32:09,,Nueva etiqu.:1757,,,,Yes,4,,,6d,CABEZA,
1758,032 010006501758,2025-05-02,12:33:27,,Nueva etiqu.:1758,,,,Yes,4,,,MD,CABEZA,
1759,032 010006501759,2025-05-02,12:34:04,,Nueva etiqu.:1759,,,,Yes,4,,,bll,cuerpo,
1760,032 010006501760,2025-05-02,12:34:48,,Nueva etiqu.:1760,,,,Yes,4,,,bll,cuerpo,
1762,032 010006501762,2025-05-02,12:36:33,,Nueva etiqu.:1762,,,,Yes,4,,,MD,CABEZA,
1765,032 010006501765,2025-05-02,12:41:28,,Nueva etiqu.:1765,,,,Yes,3,,,MD,CABEZA,
1766,032 010006501766,2025-05-02,12:42:28,,Nueva etiqu.:1766,,,,Yes,3,,,MD,cuerpo,
1767,032 010006501767,2025-05-02,12:43:07,,Nueva etiqu.:1767,,,,Yes,3,,,MD,cuerpo,
1771,032 010006501771,2025-05-02,12:49:43,,Nueva etiqu.:1771,,,,Yes,4,,,bll,CABEZA,
1773,032 010006501773,2025-05-02,12:50:56,,Nueva etiqu.:1773,,,,Yes,4,,,bll,CABEZA,
1775,032 010006501775,2025-05-02,12:54:30,,Nueva etiqu.:1775,,,,Yes,4,,,bll,CABEZA,
1776,032 010006501776,2025-05-02,12:55:51,,Nueva etiqu.:1776,,,,Yes,4,,,MD,CABEZA,
1778,032 010006501778,2025-05-02,12:57:08,,Nueva etiqu.:1778,,,,Yes,4,,,1/4D,CABEZA,
1779,032 010006501779,2025-05-02,12:57:55,,Nueva etiqu.:1779,,,,Yes,4,,,bll,CABEZA,
1780,032 010006501780,2025-05-02,12:58:33,,Nueva etiqu.:1780,,,,Yes,4,,,MD,CABEZA,
1781,032 010006501781,2025-05-02,13:01:28,,Nueva etiqu.:1781,,,,Yes,4,,,bll,CABEZA,
1782,032 010006501782,2025-05-02,13:02:03,,Nueva etiqu.:1782,,,,Yes,4,,,1/4D,CABEZA,
1784,032 010006501784,2025-05-02,13:04:36,,Nueva etiqu.:1784,,,,Yes,4,,,MD,cuerpo,
1786,032 010006501786,2025-05-02,13:11:31,,Nueva etiqu.:1786,,,,Yes,4,,,bll,CABEZA,
