VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),ATOSA.CLOST.REPRO.CO,Condition,Dam Vid,Dam Eid,edad,GESTACION,Status
1587,032 010006501587,2025-05-02,08:29:11,,Nueva etiqu.:1587,,,,Yes,4,,,MD,CABEZA,
1588,032 010006501588,2025-05-02,08:30:13,,Nueva etiqu.:1588,,,,Yes,4,,,MD,CABEZA,
1589,032 010006501589,2025-05-02,08:33:11,,Nueva etiqu.:1589,,,,Yes,4,,,bll,CABEZA,
1591,032 010006501591,2025-05-02,08:35:09,,Nueva etiqu.:1591,,,,Yes,4,,,bll,cuerpo,
1592,032 010006501592,2025-05-02,08:35:36,,Nueva etiqu.:1592,,,,Yes,4,,,MD,CABEZA,
1593,032 010006501593,2025-05-02,08:36:08,,Nueva etiqu.:1593,,,,Yes,4,,,6d,CABEZA,
1594,032 010006501594,2025-05-02,08:36:54,,Nueva etiqu.:1594,,,,Yes,4,,,bll,CABEZA,
1595,032 010006501595,2025-05-02,08:38:05,,Nueva etiqu.:1595,,,,Yes,4,,,bll,CABEZA,
1596,032 010006501596,2025-05-02,08:39:58,,Nueva etiqu.:1596,,,,Yes,3,,,MD,cuerpo,
1600,032 010006501600,2025-05-02,08:47:43,,Nueva etiqu.:1600,,,,Yes,4,,,bll,CABEZA,
1601,032 010006501601,2025-05-02,08:48:49,,Nueva etiqu.:1601,,,,Yes,4,,,1/4D,CABEZA,
1603,032 010006501603,2025-05-02,08:52:40,,Nueva etiqu.:1603,,,,Yes,4,,,bll,CABEZA,
1604,032 010006501604,2025-05-02,08:53:30,,Nueva etiqu.:1604,,,,Yes,4,,,MD,CABEZA,
1607,032 010006501607,2025-05-02,08:55:48,,Nueva etiqu.:1607,,,,Yes,4,,,bll,CABEZA,
1609,032 010006501609,2025-05-02,09:00:04,,Nueva etiqu.:1609,,,,Yes,4,,,MD,CABEZA,
1610,032 010006501610,2025-05-02,09:00:56,,Nueva etiqu.:1610,,,,Yes,3,,,bll,cuerpo,
1613,032 010006501613,2025-05-02,09:05:34,,Nueva etiqu.:1613,,,,Yes,4,,,bll,CABEZA,
1614,032 010006501614,2025-05-02,09:06:02,,Nueva etiqu.:1614,,,,Yes,4,,,bll,CABEZA,
1615,032 010006501615,2025-05-02,09:08:27,,Nueva etiqu.:1615,,,,Yes,4,,,bll,CABEZA,
1616,032 010006501616,2025-05-02,09:08:56,,Nueva etiqu.:1616,,,,Yes,4,,,MD,CABEZA,
1617,032 010006501617,2025-05-02,09:09:36,,Nueva etiqu.:1617,,,,Yes,4,,,bll,CABEZA,
1618,032 010006501618,2025-05-02,09:10:30,,Nueva etiqu.:1618,,,,Yes,3,,,bll,CABEZA,
1619,032 010006501619,2025-05-02,09:11:12,,Nueva etiqu.:1619,,,,Yes,4,,,bll,CABEZA,
1621,032 010006501621,2025-05-02,09:14:32,,Nueva etiqu.:1621,,,,Yes,4,,,bll,CABEZA,
1623,032 010006501623,2025-05-02,09:22:45,,Nueva etiqu.:1623,,,,Yes,4,,,MD,CABEZA,
1624,032 010006501624,2025-05-02,09:23:46,,Nueva etiqu.:1624,,,,Yes,4,,,MD,CABEZA,
1625,032 010006501625,2025-05-02,09:24:34,,Nueva etiqu.:1625,,,,Yes,4,,,MD,CABEZA,
1626,032 010006501626,2025-05-02,09:25:08,,Nueva etiqu.:1626,,,,Yes,4,,,bll,CABEZA,
1627,032 010006501627,2025-05-02,09:26:09,,Nueva etiqu.:1627,,,,Yes,4,,,MD,CABEZA,
1629,032 010006501629,2025-05-02,09:28:00,,Nueva etiqu.:1629,,,,Yes,4,,,bll,CABEZA,
1630,032 010006501630,2025-05-02,09:32:47,,Nueva etiqu.:1630,,,,Yes,4,,,MD,CABEZA,
1631,032 010006501631,2025-05-02,09:33:45,,Nueva etiqu.:1631,,,,Yes,4,,,1/4D,cuerpo,
1632,032 010006501632,2025-05-02,09:34:22,,Nueva etiqu.:1632,,,,Yes,4,,,6d,CABEZA,
1633,032 010006501633,2025-05-02,09:35:19,,Nueva etiqu.:1633,,,,Yes,3,,,MD,cuerpo,
1634,032 010006501634,2025-05-02,09:36:11,,Nueva etiqu.:1634,,,,Yes,4,,,bll,CABEZA,
1635,032 010006501635,2025-05-02,09:37:02,,Nueva etiqu.:1635,,,,Yes,4,,,bll,cuerpo,
1637,032 010006501637,2025-05-02,09:40:36,,Nueva etiqu.:1637,,,,Yes,4,,,bll,CABEZA,
1639,032 010006501639,2025-05-02,09:42:38,,Nueva etiqu.:1639,,,,Yes,4,,,6d,CABEZA,
1640,032 010006501640,2025-05-02,09:43:17,,Nueva etiqu.:1640,,,,Yes,4,,,bll,CABEZA,
1641,032 010006501641,2025-05-02,09:47:36,,Nueva etiqu.:1641,,,,Yes,3,,,MD,cuerpo,
1642,032 010006501642,2025-05-02,09:48:19,,Nueva etiqu.:1642,,,,Yes,4,,,bll,CABEZA,
1643,032 010006501643,2025-05-02,09:49:07,,Nueva etiqu.:1643,,,,Yes,4,,,MD,CABEZA,
1644,032 010006501644,2025-05-02,09:49:43,,Nueva etiqu.:1644,,,,Yes,3,,,bll,CABEZA,
1645,032 010006501645,2025-05-02,09:50:41,,Nueva etiqu.:1645,,,,Yes,3,,,bll,cuerpo,
1648,032 010006501648,2025-05-02,09:56:00,,Nueva etiqu.:1648,,,,Yes,4,,,bll,CABEZA,
1649,032 010006501649,2025-05-02,09:57:19,,Nueva etiqu.:1649,,,,Yes,4,,,1/4D,CABEZA,
1650,032 010006501650,2025-05-02,09:58:03,,Nueva etiqu.:1650,,,,Yes,4,,,bll,CABEZA,
1652,032 010006501652,2025-05-02,09:59:41,,Nueva etiqu.:1652,,,,Yes,4,,,MD,CABEZA,
1653,032 010006501653,2025-05-02,10:00:26,,Nueva etiqu.:1653,,,,Yes,4,,,MD,CABEZA,
1654,032 010006501654,2025-05-02,10:06:42,,Nueva etiqu.:1654,,,,Yes,4,,,MD,cuerpo,
1655,032 010006501655,2025-05-02,10:07:12,,Nueva etiqu.:1655,,,,Yes,4,,,bll,CABEZA,
1656,032 010006501656,2025-05-02,10:07:45,,Nueva etiqu.:1656,,,,Yes,4,,,MD,CABEZA,
1660,032 010006501660,2025-05-02,10:14:46,,Nueva etiqu.:1660,,,,Yes,4,,,MD,CABEZA,
