VID,EID,Date,Time,Draft,Notes,Live Weight (kg),Average Daily Gain (kg/d),Overall Daily Gain (kg/d),Status
1150,032 010006501150,2025-07-03,14:52:46,,,,,,
1162,032 010006501162,2025-07-03,14:53:14,,,,,,
1193,032 010006501193,2025-07-03,14:49:16,,,,,,
1247,032 010006501247,2025-07-03,14:52:30,,,,,,
1301,032 010006501301,2025-07-03,14:52:01,,,,,,
1334,032 010006501334,2025-07-03,14:50:59,,,,,,
1339,032 010006501339,2025-07-03,14:49:13,,,,,,
1363,032 010006501363,2025-07-03,14:54:52,,,,,,
1368,032 010006501368,2025-07-03,14:49:53,,,,,,
1385,032 010006501385,2025-07-03,14:49:48,,,,,,
1392,032 010006501392,2025-07-03,14:53:15,,,,,,
1504,032 010006501504,2025-07-03,14:55:25,,,,,,
1542,032 010006501542,2025-07-03,14:50:38,,,,,,
1553,032 010006501553,2025-07-03,14:51:45,,,,,,
1564,032 010006501564,2025-07-03,14:50:48,,,,,,
1569,032 010006501569,2025-07-03,14:49:23,,,,,,
1573,032 010006501573,2025-07-03,14:49:57,,,,,,
1584,032 010006501584,2025-07-03,14:47:35,,,,,,
1606,032 010006501606,2025-07-03,14:49:10,,,,,,
1628,032 010006501628,2025-07-03,14:51:57,,,,,,
1647,032 010006501647,2025-07-03,14:45:56,,,,,,
1657,032 010006501657,2025-07-03,14:45:30,,,,,,
1658,032 010006501658,2025-07-03,14:46:00,,,,,,
1662,032 010006501662,2025-07-03,14:50:45,,,,,,
1664,032 010006501664,2025-07-03,14:50:56,,,,,,
1692,032 010006501692,2025-07-03,14:55:31,,,,,,
1694,032 010006501694,2025-07-03,14:54:49,,,,,,
1696,032 010006501696,2025-07-03,14:45:28,,,,,,
1705,032 010006501705,2025-07-03,14:54:46,,,,,,
1727,032 010006501727,2025-07-03,14:52:41,,,,,,
1739,032 010006501739,2025-07-03,14:52:36,,,,,,
1746,032 010006501746,2025-07-03,14:54:57,,,,,,
1753,032 010006501753,2025-07-03,14:53:11,,,,,,
1756,032 010006501756,2025-07-03,14:49:03,,,,,,
1763,032 010006501763,2025-07-03,14:45:54,,,,,,
1768,032 010006501768,2025-07-03,14:51:49,,,,,,
1772,032 010006501772,2025-07-03,14:55:34,,,,,,
1774,032 010006501774,2025-07-03,14:55:00,,,,,,
1787,032 010006501787,2025-07-03,14:46:02,,,,,,
1790,032 010006501790,2025-07-03,14:52:43,,,,,,
1791,032 010006501791,2025-07-03,14:49:07,,,,,,
1798,032 010006501798,2025-07-03,14:47:33,,,,,,
1805,032 010006501805,2025-07-03,22:16:37,,CUT DIARREA COBRE,,,,
1814,032 010006501814,2025-07-03,14:47:28,,,,,,
1818,032 010006501818,2025-07-03,14:51:37,,,,,,

 ,Total Head,45
 ,Total Weight,--.--
 ,Average Weight,--.--
 ,Minimum Weight,--.--
 ,Maximum Weight,--.--
 ,ADG,--.--
